Rock,Metal,Transparent
0.0,0.8,1.0
1.0,0.8,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
0.8,1.0,1.0
1.0,1.0,1.0
0.5714286,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
0.5714286,0.5,0.8
0.5714286,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
0.0,0.5,0.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,0.6666667,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,0.75,1.0
