None,Colour,Audio
0.05555556,1.0,1.0
0.0952381,1.0,1.0
0.6666667,1.0,0.3333333
0.137931,1.0,1.0
0.8,1.0,1.0
1.0,0.0,1.0
1.0,1.0,1.0
0.8,1.0,1.0
0.6666667,1.0,1.0
1.0,1.0,1.0
0.4,1.0,1.0
0.4,1.0,1.0
0.6666667,1.0,1.0
0.3076923,1.0,1.0
1.0,1.0,1.0
0.8,1.0,1.0
0.0,0.0,0.1428571
0.6666667,1.0,1.0
1.0,1.0,1.0
0.6666667,1.0,1.0
0.0,1.0,1.0
0.5,1.0,1.0
0.5,1.0,1.0
0.1052632,1.0,1.0
1.0,1.0,1.0
