Test Number,Speed,Accuracy,Number Correct,Number Entered
1,19.28001,1,4,4
2,11.78,1,4,4
3,10.31999,1,4,4
4,13.5,1,4,4
5,13.58,1,4,4
6,7.219986,1,4,4
7,11.86002,1,4,4
8,13.95999,1,4,4
9,8.73999,1,4,4
