Test Number,Speed,Accuracy,Number Correct,Number Entered
1,19.12,1,4,4
2,14.5,1,4,4
3,11.02,1,4,4
4,12.78,0.8,4,5
5,9.360001,1,4,4
6,6.919998,1,4,4
7,12.72,1,4,4
8,11.54001,1,4,4
9,10.28,1,4,4
