Test Number,Speed,Accuracy,Number Correct,Number Entered
1,25.48,1,4,4
2,17.03999,1,4,4
3,9.680008,1,4,4
4,12.08,1,4,4
5,12.81998,1,4,4
6,9.26001,1,4,4
7,13.89999,0.8,4,5
8,5.800018,1,4,4
9,10.5,1,4,4
