Test Number,Speed,Accuracy,Number Correct,Number Entered
1,24.08,1,4,4
2,19.84,1,4,4
3,23.25999,1,4,4
4,14.22,1,4,4
5,14.62,1,4,4
6,9.439987,1,4,4
7,16.84,1,4,4
8,21.64001,0,0,3
9,12.78,1,4,4
