Test Number,Speed,Accuracy,Number Correct,Number Entered
1,69.54001,1,4,4
2,13.26001,1,4,4
3,10.60001,1,4,4
4,11.42001,1,4,4
5,8.360016,1,4,4
6,16.10001,1,4,4
7,42.34,0.1052632,2,19
8,10,1,4,4
9,12.91998,1,4,4
