Test Number,Speed,Accuracy,Number Correct,Number Entered
1,35.24001,1,4,4
2,20.23999,1,4,4
3,20.01999,1,4,4
4,21.02002,1,4,4
5,14.19998,0.8,4,5
6,13.66,1,4,4
7,50.47998,0.0952381,2,21
8,12.95999,1,4,4
9,13.96002,1,4,4
