Test Number,Speed,Accuracy,Number Correct,Number Entered
1,16.54,0.8,4,5
2,7.099991,1,4,4
3,12.18001,1,4,4
4,11.39999,0.5714286,4,7
5,7.099991,1,4,4
6,5.720001,1,4,4
7,13.23999,0.6666667,4,6
8,6.000015,1,4,4
9,6.779999,1,4,4
