Test Number,Speed,Accuracy,Number Correct,Number Entered
1,20.78,1,4,4
2,12.58,1,4,4
3,16.10001,1,4,4
4,11.37999,1,4,4
5,9.720001,1,4,4
6,10.66,1,4,4
7,18.31999,0.8,4,5
8,9.779999,1,4,4
9,11.56,1,4,4
