Test Number,Speed,Accuracy,Number Correct,Number Entered
1,16.56,1,4,4
2,12.37999,1,4,4
3,12.22,1,4,4
4,9.679993,1,4,4
5,14.25999,1,4,4
6,13.15999,1,4,4
7,18.48001,0.5,4,8
8,9.059998,1,4,4
9,9.820007,1,4,4
