Test Number,Speed,Accuracy,Number Correct,Number Entered
1,26.44,1,4,4
2,13.81999,1,4,4
3,13.56,1,4,4
4,12.5,1,4,4
5,15.57999,0.6666667,4,6
6,7.979996,1,4,4
7,21.79999,0.5,4,8
8,9.540009,1,4,4
9,9.019989,1,4,4
