Test Number,Speed,Accuracy,Number Correct,Number Entered
1,46.12,0.8,4,5
2,22.25999,1,4,4
3,17.67999,1,4,4
4,17.54001,1,4,4
5,9.920013,1,4,4
6,12.36002,1,4,4
7,31.41998,0.4,4,10
8,18.88,1,4,4
9,16.19998,1,4,4
