Test Number,Speed,Accuracy,Number Correct,Number Entered
1,30.58,1,4,4
2,22.39999,1,4,4
3,23.18001,1,4,4
4,9.679993,1,4,4
5,9.180008,1,4,4
6,15.25999,1,4,4
7,60.5,0.137931,4,29
8,14.60001,1,4,4
9,15.54001,1,4,4
