Test Number,Speed,Accuracy,Number Correct,Number Entered
1,14.3,1,4,4
2,10.16,1,4,4
3,17.28,1,4,4
4,14.56,1,4,4
5,15.5,1,4,4
6,9.880005,1,4,4
7,18.62,0.6666667,4,6
8,12.36002,1,4,4
9,14.74002,1,4,4
