Test Number,Speed,Accuracy,Number Correct,Number Entered
1,15.81999,1,4,4
2,8.100006,1,4,4
3,27.22,1,4,4
4,12.44,1,4,4
5,11.31999,1,4,4
6,11.57999,1,4,4
7,26.95999,0.3076923,4,13
8,11.42001,1,4,4
9,9.420013,1,4,4
