Test Number,Speed,Accuracy,Number Correct,Number Entered
1,80.42001,1,4,4
2,25.96001,1,4,4
3,12.93999,1,4,4
4,15.68002,1,4,4
5,16.89999,1,4,4
6,18.42001,1,4,4
7,37.96002,0.8,4,5
8,16.37997,1,4,4
9,21.5,1,4,4
